Step,X_ref,Y_ref,X_act,Y_act,Lat_Error,Delta_f,Vx,X_est,Y_est
201,92,-12.4688,91.1726,-12.2806,-0.030281,0.120811,10.0969,90.9998,-12.391
202,92.5,-12.513,91.6747,-12.3353,0.0921763,0.0497505,10.095,91.2943,-12.312
203,93,-12.5509,92.1759,-12.3929,0.12992,0.0836654,10.0905,91.9612,-12.3784
204,93.5,-12.5825,92.6795,-12.4306,0.0817011,0.00412805,10.0936,92.3765,-12.3964
205,94,-12.6078,93.1815,-12.483,0.047227,-0.0357829,10.0942,93.0654,-12.429
206,94.5,-12.6268,93.6832,-12.5388,0.171395,0.104174,10.0938,93.6675,-12.418
207,95,-12.6395,94.1884,-12.5586,0.0658311,0.163641,10.0956,94.137,-12.5469
208,95.5,-12.6459,94.6944,-12.5648,0.00116384,-0.0094224,10.0968,94.726,-12.5275
209,96,-12.6459,95.198,-12.6052,0.00184351,0.0862651,10.0986,95.1577,-12.637
210,96.5,-12.6397,95.7034,-12.6075,0.0412324,0.198344,10.1007,95.5758,-12.6556
211,97,-12.6272,96.2096,-12.5799,-0.0806563,0.0317947,10.0999,96.1567,-12.6784
212,97.5,-12.6084,96.7147,-12.5858,0.019189,0.00126804,10.1002,96.5714,-12.5643
213,98,-12.5834,97.2197,-12.5829,0.174045,0.174463,10.1011,97.1103,-12.5125
214,98.5,-12.5522,97.7241,-12.5319,0.0663552,0.102225,10.0985,97.6772,-12.5614
215,99,-12.5148,98.2278,-12.4972,0.0135569,-0.0702584,10.0963,98.0674,-12.4878
216,99.5,-12.4712,98.7336,-12.4915,0.192175,0.0258962,10.1007,98.6484,-12.3672
217,100.5,-12.3658,99.2373,-12.453,0.116442,0.175112,10.102,99.2337,-12.4186
218,100.5,-12.3658,99.7393,-12.3811,0.0921565,0.00162519,10.1041,99.5784,-12.3281
219,101,-12.304,100.244,-12.3498,0.0558814,0.0214753,10.1015,100.02,-12.3471
220,101.5,-12.2362,100.746,-12.2995,0.0536739,0.0868201,10.098,100.53,-12.2792
